index,brand,model,Specification,Device,price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,os,year_of_warranty
665,lenovo,Lenovo IdeaPad Gaming 3 82K101LHIN,11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph,Gaming Laptop,52990,70,intel,core i5,4,8,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
666,asus,Asus Vivobook 15 2023 X1504VA-NJ543WS,13th Gen Core i5/ 16GB/ 512GB SSD/ Win11,Laptop,61990,64,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
667,lenovo,Lenovo ThinkPad E14 21JRS00T00,AMD Ryzen 5 7530U/ 8GB/ 512GB SSD/ Win11 Home,Laptop,69345,62,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,integrated,FALSE,14,1920,1200,windows,1
668,lenovo,Lenovo IdeaPad Slim 3 2023 82X70033IN,13th Gen Core i3/ 8GB/ 512GB SSD/ Win11,Laptop,44990,58,intel,core i3,5,6,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
669,hp,HP Envy x360 15-fe0028TU,13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,Laptop,96590,66,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,TRUE,15.6,1920,1080,windows,1
670,hp,HP Envy x360 15-fe0027TU,13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,Laptop,87990,66,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,TRUE,15.6,1920,1080,windows,1
671,hp,HP Envy x360 15-fh0016AU,AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home,Laptop,86690,66,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,TRUE,15.6,1920,1080,windows,1
672,hp,HP Envy x360 15-fh0019AU,AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11 Home,Laptop,87690,70,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,amd,integrated,TRUE,15.6,1920,1080,windows,1
673,hp,HP Envy x360 15-fh0015AU,AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home,Laptop,78890,66,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,TRUE,15.6,1920,1080,windows,1
674,hp,HP Envy x360 15-ew0041TU,12th Gen Core i5/ 16GB/ 512GB SSD/ Win11,Laptop,83990,72,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,TRUE,15.6,1920,1080,windows,1
